skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Cobra Strike	200	ass	cobra strike	23	34	1		36					2					cobrastrikepoisnova				progressive_steal		(par3 + lvl*par5) * (100 + stat('item_skill_duration_increased'.accr)) / 100		progressive_steal		progressive_tohit	par4																																																									cobrastrike1	assassin_chargeup_cobra_1						13	10	13			cobrastrikepoisnova											1	0		h2h		mele										A1	A1	A2				1		1	1								1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20								1					1						1	8	3	0								1											5	Base percent life steal	0	Percent life steal per level	725	duration	50	tohit bonus for each charge-up	25	duration per level					14	damage synergy	1	100	50						1	128														pois	50	50	66	99	165	225	76	50	66	99	165	225	((skill('Claw Mastery'.blvl)+skill('Venom'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	75					12		5	20
Blade Fury	201	ass	star jav		8												starjav	starjav																																																													1													17					starjav	starjav											1	2		none												A1	A1	xx				1													1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20													1						1	8	6	0	1										1 + (blvl/5)	# missiles	0	activation frame	2	triggered																	28	damage synergy	1	50	25						1	128														pois	29	29	48	56	75	85	38	29	48	56	75	85	(skill('Venom'.blvl)*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	50							5	10
Fade	202	ass	fade		18																	fade		ln78  * (100 + stat('item_skill_duration_increased'.accr)) / 100		curse_resistance	clc1	damageresist	min(par5+blvl/2+skill('Dragon Claw'.blvl)/4,100)	item_poisonlengthresist	ln12	lifedrainmindam	blvl/5															fade	2	fireresist	clc3	lightresist	clc3	coldresist	clc3	poisonresist	clc3																				assassin_fade																																1	0		none												SC	SC	SC				1													1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20													1						1	8	12	1	1	1									5 + (blvl/4)	curse reduction			5+lvl/2+skill('Weapon Block'.blvl)+skill('Dragon Claw'.blvl)	+%ResistAll		HP buff	5	%Poison Length Reduced	1	+%PLReduced per level					5	%Physical Resistance	2	Levels per %PhysRes	90000	duration	0	Duration per level	1								8																																				51	30
Shadow Warrior	203	ass	shadow warrior		49																	shadowwarrior																																						shadowwarrior	shadowwarrior	1	NU	Warmth	lvl												assassin_summon																																1	0		none												SC	SC	xx				1	4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20								1				150 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100							1	8	16	1	1	1										No ast or pst fields usable!?		No ast or pst fields usable!?		+HP via monEquip not healed by summoning			175	+% HP per level (150Norm 175NM 175Hell)		"See Unique ""by6"" - Fade onStruck"		See Monstats - WeaponBlock+Fade synergize?			25	base item quality level	2	item quality per level			-1	CastDelaySynergy	1								8																0	65	30	13	17	7														-12	26	30
Claws of Thunder	204	ass	claws of thunder		18									bladesoflightmaker			bladesoflightmaker																																																																															fofmaker	bladesoflightmaker												1	5		h2h		mele										A1	A1	xx				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20								1				clc4	1						1	8	6	0											1	# bolts					60 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	castdelay	0	Minimum pois bolts	0	Levels per extra bolt.	0	max bolts									20	damage synergy	1	100	50						8															ltng	1	0	0	0	0	0	58	28	41	69	94	156	((skill('Charged Bolt Sentry'.blvl)+skill('Lightning Sentry'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)						4		5	10
Dragon Tail	205	ass	dragon tail	1	1									dragontailnova			dragontailnova	dragontailnova	dragontailnova																																																																								1	1				dragontail	dragontail												1	0		h2h		h2h			2Hwp							KK	KK	A1				1		1	1								1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	1								1					1		1				1	8	4	0	1					1			1																										1								8	1																																			5	0
Lightning Sentry	206	ass	lightning sentry		44																																											passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)	hurricane	ulvl	energy	stat('energy'.accr)					lightningsentry	assassintrap	3	S1	sentry lightning	lvl	Claws of Thunder	skill('Claws of Thunder'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Teeth	blvl						assassin_summon																																1	0		rng												S2	S2	S2				1	4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20												clc4	1						1	7	4	1																		CastDelay (skillDesc)	3	Shots fired													10	damage synergy	1								8															ltng	1	0	0	0	0	0	31	18	30	43	55	74	((skill('Claws of Thunder'.blvl)+skill('Charged Bolt Sentry'.blvl))*par8) + (stat('energy'.accr)/4) + (skill('Teeth'.lvl)*5*(max(skill('Kick'.clc1),((stat('hurricane'.accr)>40)?(stat('hurricane'.accr)*5-400):0)))/100)								26	40
Inferno Sentry	207	ass	inferno sentry		44																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)	energy	stat('energy'.accr)							infernosentry	assassintrap	3	S1	Immolation sentry	lvl	Fists of Fire	skill('Fists of Fire'.blvl)	Wake of Fire Sentry	skill('Wake of Fire Sentry'.blvl)	Teeth	blvl	Bone Armor	ulvl				assassin_summon																																1	0		rng												S2	S2	S2				1	4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20												clc4	1						1	7	4	1																		CastDelay (skillDesc)	3	Shots fired													14	damage synergy	1								8															fire	1	1	1	1	1	1	1	1	1	1	1	1	((skill('Fists of Fire'.blvl)+skill('Wake of Fire Sentry'.blvl))*par8) + (stat('energy'.accr)/4) + ((max(blvl,skill('Teeth'.lvl)))*5*(max(skill('Kick'.clc1),((stat('hurricane'.accr)>40)?(stat('hurricane'.accr)*5-400):0)))/100)								26	40
Mind Blast	208	ass	mind blast		28												mindblast2center	mindblast2center	mindblast2center																																																										assassin_psychichammer							fist_will_cast								28					mindblast2center	mindblast2center	mindblast2center										1	5		none												SC	SC	xx					4												1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20												clc4	1						1	6	8	1	1																60 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)															10	damage synergy	1								8															mag	50	13	19	25	41	63	75	18	25	31	48	75	((100+stat('passive_mag_mastery'.accr)) * (100+((skill('Psychic Hammer'.blvl)*par8)+(skill('Shadow Warrior'.blvl)*par8)+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)))/100)-100						5		26	40
Blades of Ice	209	ass	blades of ice		18									bladesoficemaker			bladesoficemaker																																																																							ice_cast_3								bladesoficemaker	bladesoficemaker												1	5		h2h		mele										A1	A1	xx				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20								1				clc4	1						1	8	6	0											1						60 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	castdelay	0	Minimum pois bolts	0	Levels per extra bolt.	0	max bolts									20	damage synergy	1	100	50						8															cold	20	13	19	31	44	75	38	15	23	38	50	81	((skill('Claw Mastery'.blvl)+skill('Phoenix Strike'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	100	5	5	5		4		5	50
Dragon Flight	210	ass	dragon flight	12	52																				par7	item_knockback	100																																																	1	sorceress_teleport							dragonflight							5																1		1	0		rng	4											SQ	KK	A1	21			1	4			1							1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1					1						1	8	3	0	1					1												All Hardcoded? :-(	50	% Damage bonus	20	% damage per level									50	range			1	50	25					1	8																																		13		5	40
Death Sentry	211	ass	death sentry		44																																																							deathsentry	assassintrap	3	S1	mon death sentry	lvl									32			assassin_summon																																1	0		rng												SC	SC	SC				1																					((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20													1						1	7	10	1																			3	Shots fired													2	damage synergy	1								8															mag																					26	50
Blade Shield	212	ass	blade shield	28	54												blade shield attachment				33667	bladeshield		ln12 * (100 + stat('item_skill_duration_increased'.accr)) / 100	par4																																																				assassin_bladeshield																																1	0		none												SC	SC	SC				1													36	10							1	20	1													1						1	8	30	0	1	1		1	20														90000	duration	0	duration per level	20		4	dmg radius (does nothing?)	5		5		5		5		1				32		3		8	64																																	1		51	50
Venom	213	ass	venom		18																	venomclaws		ln12 * (100 + stat('item_skill_duration_increased'.accr)) / 100		poisonmindam	enms	poisonmaxdam	exms	skill_poison_override_length	edma																																														assassin_venom																																1	0		none												SC	SC	SC				1													1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20													1						1	7	12	1	1	1																	15000	duration	0	duration per level	0	?	0	?	0	?	0	?	0	Duration synergy	14	damage synergy	1								1															pois	20	20	26	40	66	114	31	20	26	40	66	114	(skill('Fade'.blvl)*par8)+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	50					1		51	50
Shadow Master	214	ass	shadow master		49																	shadowwarrior																																						shadowmaster	shadowmaster	1	NU														assassin_summon																																1	0		none												SC	SC	xx				1																					((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1				150 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100							1	8	16	1	1	1																	175	+% HP per level (150Norm 175NM 175Hell)							31	base item quality level	2	item quality per level			-1	CastDelaySynergy	1								8																0	700	170	170	51	165														-12	26	50
Phoenix Strike	215	ass	royal strike	23	34	1	41	143	40	par5	par6						royalstrikechaosice	royalstrikechainlightning	royalstrikemeteorcenter			progressive_other		(725+25*lvl) * (100 + stat('item_skill_duration_increased'.accr)) / 100	par1	progressive_other		progressive_tohit	par7																																																																15	83	14		royalstrikechaosice	royalstrikechainlightning	royalstrikemeteorcenter										1	0		h2h		mele										A1	A1	A2				1		1	1								1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1					1						1	8	3	0								1			par2	Meteor Radius							9	radius of jump to next target	7	radius of meteor explosion	200	Frames of fire	0	Frames of fire per level	25	chaos ice bolts	10	chain lightning skip	50	to hit bonus per charge up	33	damage synergy	1	100	50						8	128																																	4	-2	5	50
Fire Hit	216			42	83																																																																																																								1	0		none												SQ	SQ	xx				1																					((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																		15	base damage	15	extra per level	200	duration	25	duration/level									1								8																																					0
UnHolyBolt	217				85												unholybolt1																																																																															unholybolt1													1	0		none												SQ	SQ	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage (Missiles.txt)		Unravelers 1 to 4 are mapped to missiles 77 to 80,		i.e. unholybolt 1 to 4, like skellymages													1								0																																					0
SkeletonRaise	218																																																																																																												1	0		none												SQ	SQ	xx								1	1		1														((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
MaggotEgg	219			43	84																																																																								sandmaggotegg_hatch_1															46																	1	0		none												SQ	SQ	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1									 	(lvl < 5) ? lvl : min(12,5+(lvl-5)/3)	# to spawn																							1								8																																					0
ShamanFire	220				85												shafire1																																																																															shafire1													1	0		none												SQ	SQ	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage (Missiles.txt)																	1								8																																					0
MagottUp	221			44																																																																									sandmaggot_emerge														32						dirt pile	sand pile											1	0		none												SQ	SQ	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
MagottDown	222			45	86																																																																								sandmaggot_burrow														33	47																	1	0		none												SQ	SQ	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										10	heal%																							1								8																																					0
MagottLay	223				87																																																																																																								1	0		none												SQ	SQ	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
AndrialSpray	224		andyspray	46	88												andarielspray																																																																										34	48					andarielspray												1	0		none												SQ	SQ	xx																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																	Dmg/frame in EDmgSymPerCalc																	1								0															pois	1						1						200*(skill('Attack'.clc4)*((lvl>=40)?skill('Attack'.par7):((lvl>=20)?skill('Attack'.par6):skill('Attack'.par5)))/100)*256/25	33								0
Jump	225			47	89																																																																																																								1	0		none												SQ	SQ	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										10	damage%																							1	15	5						8																																					0
Swarm Move	226			48	90																																																																																						35	49																	1	0		none												SQ	SQ	xx																									((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										11	do frame	19	stop frame																					1								8																																					0
Nest	227			49	91																																																																																						36	50																	1	0		none												SQ	SQ	xx																	36	10							((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
Quick Strike	228			50	92												raven1																																																																																												1	0		none												SQ	SQ	xx							1																		((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																																		1								8																																					0
VampireFireball	229													vampirefireball																																																																																		vampirefireball													1	0		none												SQ	SQ	SC																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1								8																																					0
VampireFirewall	230				24												vampirefirewallmaker	vampirefirewall																																																																										26					vampirefirewallmaker												1	0		none												SQ	SQ	SC																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4)*256/25*((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100/3	Damage (per frame)																	1								8																																					0
VampireMeteor	231				28												vampiremeteorcenter								ln12																																																								sorceress_meteor							fire_cast_2				28					vampiremeteorcenter												1	0		none												SQ	SQ	SC																	1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1										ln12						skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage	7	radius of explosion	0	radius/level	50	Frames of fire	5	Frames of fire per level									1								0															fire	256						300						clc4*300									0
GargoyleTrap	232				93												shafire5																																																																											51					shafire5												1	0		none												SQ	SQ	xx	18																1								((ulvl-1)<(blvl*2)) ? (stat('newskills'.accr)+1) : 1	1																								1																skill('Attack'.clc4) * ((lvl>=40) ? skill('Attack'.par7) : ((lvl>=20) ? skill('Attack'.par6) : skill('Attack'.par5))) / 100	Damage																	1								8																																					0
